,A
861,47.17639536175857
862,46.998177686680705
863,46.9785829605512
864,47.04692061769326
865,46.97003159614298
866,47.01097722181939
867,47.38659964051389
868,46.85815448590171
869,47.06498430484964
870,46.86608081517229
871,50.81892137252033
872,49.567236631767784
873,46.854528718076565
874,47.14330604565312
875,47.45999770176339
876,47.23554134888442
877,47.14096290306317
878,47.17734203793923
879,47.029847622114424
880,48.547864541507295
881,47.045713858220225
882,47.23162480492331
883,47.051489867465364
884,47.164749058045466
885,47.08692440578032
886,47.17625776592891
887,47.06811034175784
888,46.745878018415134
889,47.141048461734854
890,46.964698832329795
891,47.14366189642416
892,47.12391466625258
893,47.070347083181545
894,47.0977111747917
895,46.92840548900795
896,47.013813290359494
897,46.957401641484374
898,46.932726659253234
899,47.34835881979167
900,46.857091088816496
901,46.78812129113137
902,47.12346650911449
903,47.123815418124394
904,47.34882838513943
905,47.11996832744725
906,47.049679041075805
907,47.03675018917177
908,47.028191631647715
909,47.02630956980563
910,47.03080043088212
911,47.08048834088424
912,46.77665948553957
913,47.07509559048445
914,47.06297010561593
915,47.08541842675053
916,47.055278901711695
917,47.03482212506346
918,47.20870884866523
919,46.98320270972373
